STATE 	Y 	X1 	X2 	X3 	Region  	Year
ME 	61	1704	388	399	1	1960
NH 	68	1885	372	598	1	1960
VT 	72	1745	397	370	1	1960
MA 	72	2394	358	868	1	1960
RI 	62	1966	357	899	1	1960
CT 	91	2817	362	690	1	1960
NY 	104	2685	341	728	1	1960
NJ 	99	2521	353	826	1	1960
PA 	70	2127	352	656	1	1960
OH 	82	2184	387	674	2	1960
IN 	84	1990	392	568	2	1960
IL 	84	2435	366	759	2	1960
MI 	104	2099	403	650	2	1960
WI 	84	1936	393	621	2	1960
MN 	103	1916	402	610	2	1960
IA 	86	1863	385	522	2	1960
MO 	69	2037	364	613	2	1960
ND 	94	1697	429	351	2	1960
SD 	79	1644	411	390	2	1960
NB 	80	1894	379	520	2	1960
KS 	98	2001	380	564	2	1960
DE 	124	2760	388	326	3	1960
MD 	92	2221	393	562	3	1960
VA 	67	1674	402	487	3	1960
WV 	66	1509	405	358	3	1960
NC 	65	1384	423	362	3	1960
SC 	57	1218	453	343	3	1960
GA 	60	1487	420	498	3	1960
FL 	74	1876	334	628	3	1960
KY 	49	1397	594	377	3	1960
TN 	60	1439	346	457	3	1960
AL 	59	1359	637	517	3	1960
MS 	68	1053	448	362	3	1960
AR 	56	1225	403	416	3	1960
LA 	72	1576	433	562	3	1960
OK 	80	1740	378	610	3	1960
TX 	79	1814	409	727	3	1960
MT 	95	1920	412	463	4	1960
ID 	79	1701	418	414	4	1960
WY 	142	2088	415	568	4	1960
CO 	108	2047	399	621	4	1960
NM 	94	1838	458	618	4	1960
AZ 	107	1932	425	699	4	1960
UT 	109	1753	494	665	4	1960
NV 	114	2569	372	663	4	1960
WA 	112	2160	386	584	4	1960
OR 	105	2006	382	534	4	1960
CA 	129	2557	373	717	4	1960
AK 	107	1900	434	379	4	1960
HI 	77	1852	431	693	4	1960
ME 	189	2828	351	508	1	1970
NH 	169	3259	346	564	1	1970
VT 	230	3072	348	322	1	1970
MA 	168	3835	335	846	1	1970
RI 	180	3549	327	871	1	1970
CT 	193	4256	341	774	1	1970
NY 	261	4151	326	856	1	1970
NJ 	214	3954	333	889	1	1970
PA 	201	3419	326	715	1	1970
OH 	172	3509	354	753	2	1970
IN 	194	3412	359	649	2	1970
IL 	189	3981	349	830	2	1970
MI 	233	3675	369	738	2	1970
WI 	209	3363	361	659	2	1970
MN 	262	3341	365	664	2	1970
IA 	234	3265	344	572	2	1970
MO 	177	3257	336	701	2	1970
ND 	177	2730	369	443	2	1970
SD 	187	2876	369	446	2	1970
NB 	148	3239	350	615	2	1970
KS 	196	3303	340	661	2	1970
DE 	248	3795	376	722	3	1970
MD 	247	3742	364	766	3	1970
VA 	180	3068	353	631	3	1970
WV 	149	2470	329	390	3	1970
NC 	155	2664	354	450	3	1970
SC 	149	2380	377	476	3	1970
GA 	156	2781	371	603	3	1970
FL 	191	3191	336	805	3	1970
KY 	140	2645	349	523	3	1970
TN 	137	2579	343	588	3	1970
AL 	112	2337	362	584	3	1970
MS 	130	2081	385	445	3	1970
AR 	134	2322	352	500	3	1970
LA 	162	2634	390	661	3	1970
OK 	135	2880	330	680	3	1970
TX 	155	3029	369	797	3	1970
MT 	238	2942	369	534	4	1970
ID 	170	2668	368	541	4	1970
WY 	238	3190	366	605	4	1970
CO 	192	3340	358	785	4	1970
NM 	227	2651	421	698	4	1970
AZ 	207	3027	387	796	4	1970
UT 	201	2790	412	804	4	1970
NV 	225	3957	385	809	4	1970
WA 	215	3688	342	726	4	1970
OR 	233	3317	333	671	4	1970
CA 	273	3968	348	909	4	1970
AK 	372	4146	440	484	4	1970
HI 	212	3513	383	831	4	1970
ME 	235	3944	325	508	1	1975
NH 	231	4578	323	564	1	1975
VT 	270	4011	328	322	1	1975
MA 	261	5233	305	846	1	1975
RI 	300	4780	303	871	1	1975
CT 	317	5889	307	774	1	1975
NY 	387	5663	301	856	1	1975
NJ 	285	5759	310	889	1	1975
PA 	300	4894	300	715	1	1975
OH 	221	5012	324	753	2	1975
IN 	264	4908	329	649	2	1975
IL 	308	5753	320	830	2	1975
MI 	379	5439	337	738	2	1975
WI 	342	4634	328	659	2	1975
MN 	378	4921	330	664	2	1975
IA 	232	4869	318	572	2	1975
MO 	231	4672	309	701	2	1975
ND 	246	4782	333	443	2	1975
SD 	230	4296	330	446	2	1975
NB 	268	4827	318	615	2	1975
KS 	337	5057	304	661	2	1975
DE 	344	5540	328	722	3	1975
MD 	330	5331	323	766	3	1975
VA 	261	4715	317	631	3	1975
WV 	214	3828	310	390	3	1975
NC 	245	4120	321	450	3	1975
SC 	233	3817	342	476	3	1975
GA 	250	4243	339	603	3	1975
FL 	243	4647	287	805	3	1975
KY 	216	3967	325	523	3	1975
TN 	212	3946	315	588	3	1975
AL 	208	3724	332	584	3	1975
MS 	215	3448	358	445	3	1975
AR 	221	3680	320	500	3	1975
LA 	244	3825	355	661	3	1975
OK 	234	4189	306	680	3	1975
TX 	269	4336	335	797	3	1975
MT 	302	4418	335	534	4	1975
ID 	268	4323	344	541	4	1975
WY 	323	4813	331	605	4	1975
CO 	304	5046	324	785	4	1975
NM 	317	3764	366	698	4	1975
AZ 	332	4504	340	796	4	1975
UT 	315	4005	378	804	4	1975
NV 	291	5560	330	809	4	1975
WA 	312	4989	313	726	4	1975
OR 	316	4697	305	671	4	1975
CA 	332	5438	307	909	4	1975
AK 	546	5613	386	484	4	1975
HI 	311	5309	333	831	4	1975
